arodes_int_num	adress_forest	a_year	arodes_typ_cd
1704000351	17-04-1-01-25    -b   -00	2023	WYDZIEL  
1704000353	17-04-1-01-25    -d   -00	2023	WYDZIEL  
1704000360	17-04-1-01-48    -    -  	2023	ODDZ     
1704000366	17-04-1-01-48    -b   -00	2023	WYDZIEL  
1704000368	17-04-1-01-48    -c   -00	2023	WYDZIEL  
1704000374	17-04-1-01-48    -d   -00	2023	WYDZIEL  
1704000376	17-04-1-01-48    -h   -00	2023	WYDZIEL  
1704000378	17-04-1-01-48    -f   -00	2023	WYDZIEL  
1704000382	17-04-1-01-48    -i   -00	2023	WYDZIEL  
1704000386	17-04-1-01-48    -j   -00	2023	WYDZIEL  
1704000388	17-04-1-01-48    -k   -00	2023	WYDZIEL  
1704000389	17-04-1-01-49    -    -  	2023	ODDZ     
1704000391	17-04-1-01-49    -a   -00	2023	WYDZIEL  
1704000393	17-04-1-01-49    -b   -00	2023	WYDZIEL  
1704000395	17-04-1-01-49    -c   -00	2023	WYDZIEL  
1704000397	17-04-1-01-49    -d   -00	2023	WYDZIEL  
1704000399	17-04-1-01-49    -f   -00	2023	WYDZIEL  
1704000400	17-04-1-01-50    -    -  	2023	ODDZ     
1704000402	17-04-1-01-50    -a   -00	2023	WYDZIEL  
1704000404	17-04-1-01-50    -b   -00	2023	WYDZIEL  
1704000406	17-04-1-01-50    -c   -00	2023	WYDZIEL  
1704000414	17-04-1-01-50    -r   -00	2023	WYDZIEL  
1704000420	17-04-1-01-50    -f   -00	2023	WYDZIEL  
1704000426	17-04-1-01-50    -h   -00	2023	WYDZIEL  
1704000428	17-04-1-01-50    -i   -00	2023	WYDZIEL  
1704000430	17-04-1-01-50    -j   -00	2023	WYDZIEL  
1704000432	17-04-1-01-50    -k   -00	2023	WYDZIEL  
1704000438	17-04-1-01-50    -o   -00	2023	WYDZIEL  
1704000444	17-04-1-01-50    -p   -00	2023	WYDZIEL  
1704000445	17-04-1-01-51    -    -  	2023	ODDZ     
1704000447	17-04-1-01-51    -a   -00	2023	WYDZIEL  
1704000449	17-04-1-01-51    -c   -00	2023	WYDZIEL  
1704000453	17-04-1-01-51    -g   -00	2023	WYDZIEL  
1704000457	17-04-1-01-51    -h   -00	2023	WYDZIEL  
1704000458	17-04-1-01-52    -    -  	2023	ODDZ     
1704000464	17-04-1-01-52    -c   -00	2023	WYDZIEL  
1704000465	17-04-1-01-53    -    -  	2023	ODDZ     
1704000469	17-04-1-01-53    -g   -00	2023	WYDZIEL  
1704000471	17-04-1-01-53    -h   -00	2023	WYDZIEL  
1704000475	17-04-1-01-53    -c   -00	2023	WYDZIEL  
1704000477	17-04-1-01-53    -f   -00	2023	WYDZIEL  
1704000478	17-04-1-01-54    -    -  	2023	ODDZ     
1704000480	17-04-1-01-54    -a   -00	2023	WYDZIEL  
1704000482	17-04-1-01-54    -b   -00	2023	WYDZIEL  
1704000484	17-04-1-01-54    -c   -00	2023	WYDZIEL  
1704000486	17-04-1-01-54    -d   -00	2023	WYDZIEL  
1704000488	17-04-1-01-54    -g   -00	2023	WYDZIEL  
1704000490	17-04-1-01-54    -f   -00	2023	WYDZIEL  
1704000492	17-04-1-01-54    -h   -00	2023	WYDZIEL  
1704000494	17-04-1-01-54    -i   -00	2023	WYDZIEL  
1704000495	17-04-1-01-55    -    -  	2023	ODDZ     
1704000497	17-04-1-01-55    -a   -00	2023	WYDZIEL  
1704000499	17-04-1-01-55    -b   -00	2023	WYDZIEL  
1704000501	17-04-1-01-55    -c   -00	2023	WYDZIEL  
1704000503	17-04-1-01-55    -d   -00	2023	WYDZIEL  
1704000505	17-04-1-01-55    -f   -00	2023	WYDZIEL  
1704000506	17-04-1-01-56    -    -  	2023	ODDZ     
1704000508	17-04-1-01-56    -a   -00	2023	WYDZIEL  
1704000510	17-04-1-01-56    -b   -00	2023	WYDZIEL  
1704000512	17-04-1-01-56    -c   -00	2023	WYDZIEL  
1704000514	17-04-1-01-56    -d   -00	2023	WYDZIEL  
1704000516	17-04-1-01-56    -f   -00	2023	WYDZIEL  
1704000518	17-04-1-01-56    -g   -00	2023	WYDZIEL  
1704000520	17-04-1-01-56    -h   -00	2023	WYDZIEL  
1704000522	17-04-1-01-56    -i   -00	2023	WYDZIEL  
1704000523	17-04-1-01-57    -    -  	2023	ODDZ     
1704000525	17-04-1-01-57    -c   -00	2023	WYDZIEL  
1704000527	17-04-1-01-57    -b   -00	2023	WYDZIEL  
1704000529	17-04-1-01-57    -a   -00	2023	WYDZIEL  
1704000531	17-04-1-01-57    -d   -00	2023	WYDZIEL  
1704000533	17-04-1-01-57    -f   -00	2023	WYDZIEL  
1704000535	17-04-1-01-57    -g   -00	2023	WYDZIEL  
1704000537	17-04-1-01-57    -h   -00	2023	WYDZIEL  
1704000539	17-04-1-01-57    -i   -00	2023	WYDZIEL  
1704000541	17-04-1-01-57    -j   -00	2023	WYDZIEL  
1704000542	17-04-1-01-58    -    -  	2023	ODDZ     
1704000544	17-04-1-01-58    -a   -00	2023	WYDZIEL  
1704000546	17-04-1-01-58    -b   -00	2023	WYDZIEL  
1704000554	17-04-1-01-58    -f   -00	2023	WYDZIEL  
1704000559	17-04-1-01-59    -    -  	2023	ODDZ     
1704000565	17-04-1-01-59    -b   -00	2023	WYDZIEL  
1704000567	17-04-1-01-59    -c   -00	2023	WYDZIEL  
1704000572	17-04-1-01-60    -    -  	2023	ODDZ     
1704000574	17-04-1-01-60    -b   -00	2023	WYDZIEL  
1704000576	17-04-1-01-60    -c   -00	2023	WYDZIEL  
1704000578	17-04-1-01-60    -d   -00	2023	WYDZIEL  
1704000584	17-04-1-01-60    -g   -00	2023	WYDZIEL  
1704000586	17-04-1-01-60    -h   -00	2023	WYDZIEL  
1704000591	17-04-1-01-61    -    -  	2023	ODDZ     
1704000593	17-04-1-01-61    -a   -00	2023	WYDZIEL  
1704000595	17-04-1-01-61    -b   -00	2023	WYDZIEL  
1704000597	17-04-1-01-61    -c   -00	2023	WYDZIEL  
1704000599	17-04-1-01-61    -d   -00	2023	WYDZIEL  
1704000603	17-04-1-01-61    -g   -00	2023	WYDZIEL  
1704000605	17-04-1-01-61    -h   -00	2023	WYDZIEL  
1704000606	17-04-1-01-62    -    -  	2023	ODDZ     
1704000608	17-04-1-01-62    -a   -00	2023	WYDZIEL  
1704000627	17-04-1-01-63    -    -  	2023	ODDZ     
1704000631	17-04-1-01-63    -b   -00	2023	WYDZIEL  
1704000637	17-04-1-01-63    -d   -00	2023	WYDZIEL  
1704000639	17-04-1-01-63    -f   -00	2023	WYDZIEL  
1704000641	17-04-1-01-63    -g   -00	2023	WYDZIEL  
1704000643	17-04-1-01-63    -j   -00	2023	WYDZIEL  
1704000645	17-04-1-01-63    -h   -00	2023	WYDZIEL  
1704000646	17-04-1-01-64    -    -  	2023	ODDZ     
1704000648	17-04-1-01-64    -a   -00	2023	WYDZIEL  
1704000654	17-04-1-01-64    -c   -00	2023	WYDZIEL  
1704000658	17-04-1-01-64    -g   -00	2023	WYDZIEL  
1704000662	17-04-1-01-64    -j   -00	2023	WYDZIEL  
1704000663	17-04-1-01-65    -    -  	2023	ODDZ     
1704000665	17-04-1-01-65    -a   -00	2023	WYDZIEL  
1704000667	17-04-1-01-65    -b   -00	2023	WYDZIEL  
1704000669	17-04-1-01-65    -d   -00	2023	WYDZIEL  
1704000671	17-04-1-01-65    -c   -00	2023	WYDZIEL  
1704000673	17-04-1-01-65    -g   -00	2023	WYDZIEL  
1704000675	17-04-1-01-65    -h   -00	2023	WYDZIEL  
1704000680	17-04-1-01-66    -    -  	2023	ODDZ     
1704000690	17-04-1-01-66    -b   -00	2023	WYDZIEL  
1704000691	17-04-1-01-67    -    -  	2023	ODDZ     
1704000693	17-04-1-01-67    -a   -00	2023	WYDZIEL  
1704000697	17-04-1-01-67    -c   -00	2023	WYDZIEL  
1704000699	17-04-1-01-67    -f   -00	2023	WYDZIEL  
1704000705	17-04-1-01-67    -h   -00	2023	WYDZIEL  
1704000706	17-04-1-01-68    -    -  	2023	ODDZ     
1704000714	17-04-1-01-68    -d   -00	2023	WYDZIEL  
1704000716	17-04-1-01-68    -f   -00	2023	WYDZIEL  
1704000722	17-04-1-01-68    -h   -00	2023	WYDZIEL  
1704000723	17-04-1-01-69    -    -  	2023	ODDZ     
1704000725	17-04-1-01-69    -a   -00	2023	WYDZIEL  
1704000727	17-04-1-01-69    -b   -00	2023	WYDZIEL  
1704000729	17-04-1-01-69    -c   -00	2023	WYDZIEL  
1704000731	17-04-1-01-69    -d   -00	2023	WYDZIEL  
1704000732	17-04-1-01-70    -    -  	2023	ODDZ     
1704000738	17-04-1-01-70    -c   -00	2023	WYDZIEL  
1704000742	17-04-1-01-70    -d   -00	2023	WYDZIEL  
