site_int_num	arodes_int_num	prot_site_cd	prot_site_state	a_year
615	1704003198	9170	C	2023
616	1704003200	9170	C	2023
1430	1704003204	9170	C	2023
618	1704003209	9170	C	2023
619	1704003215	91D0	C	2023
620	1704003217	9170	C	2023
621	1704003223	9170	C	2023
622	1704003236	9170	B	2023
623	1704003238	9170	C	2023
624	1704003240	9170	C	2023
625	1704003242	9170	C	2023
626	1704003251	91D0	C	2023
628	1704003270	9170	C	2023
629	1704003274	9170	C	2023
684	1704003279	9170	B	2023
630	1704003281	9170	C	2023
631	1704003289	9170	C	2023
685	1704003294	9170	B	2023
635	1704003302	9170	C	2023
636	1704003308	9170	B	2023
637	1704003311	9170	C	2023
638	1704003313	9170	C	2023
639	1704003315	9170	C	2023
640	1704003319	9170	C	2023
641	1704003321	9170	C	2023
642	1704003323	9170	C	2023
643	1704003331	9170	C	2023
644	1704003336	9170	C	2023
645	1704003342	9170	B	2023
646	1704003351	9170	C	2023
756	1704003353	9170	C	2023
647	1704003355	9170	C	2023
649	1704003377	9170	B	2023
650	1704003379	9170	C	2023
651	1704003381	9170	C	2023
652	1704003392	9170	C	2023
717	1704003432	91T0	C	2023
655	1704003627	91F0	C	2023
654	1704003629	91F0	C	2023
653	1704003631	91F0	C	2023
1450	1704003635	91F0	C	2023
658	1704003637	91F0	C	2023
1451	1704003639	91F0	C	2023
659	1704003641	91F0	C	2023
660	1704003644	91F0	C	2023
661	1704003646	91F0	B	2023
662	1704003652	91F0	B	2023
663	1704003654	91F0	C	2023
664	1704003662	91F0	B	2023
665	1704003816	91F0	C	2023
666	1704003818	91F0	C	2023
670	1704003835	91F0	C	2023
668	1704003837	9170	C	2023
671	1704003844	9170	C	2023
673	1704003974	91F0	C	2023
674	1704003976	91F0	A	2023
675	1704003980	91F0	B	2023
676	1704003985	91F0	B	2023
677	1704004000	91F0	A	2023
678	1704004004	91F0	C	2023
680	1704004258	91E0	B	2023
1452	1704004339	9170	C	2023
683	1704004349	91E0	B	2023
1453	1704004351	9170	C	2023
714	1704004364	9170	C	2023
713	1704004373	9170	C	2023
686	1704004377	91E0	C	2023
1455	1704004379	9170	C	2023
688	1704004393	9170	C	2023
718	1704004479	9190	C	2023
691	1704004509	91E0	C	2023
692	1704004511	91E0	C	2023
694	1704004571	9170	B	2023
