arodes_int_num	a_year	site_nr	measure_cd	urgency	cutting_nr	cutting_area	large_timber_perc	cue_rank_order
1704000584	2023	1	PIEL     	N		1.54		4
1704000584	2023	1	CP       	N		1.54		5
1704000671	2023	1	TPP      	N		3.84		1
1704000673	2023	1	TPP      	N		5.6		1
1704000554	2023	1	TPP      	N		1.39		1
1704000738	2023	1	TPP      	N		1.58		1
1704000593	2023	1	TPP      	N		3.31		1
1704000449	2023	1	TPP      	N		1.97		1
1704000595	2023	1	TPP      	N		2.18		1
1704000675	2023	1	IB       	N		1.28	95	1
1704000675	2023	1	AGROT    	N		1.28		2
1704000675	2023	1	ODN-ZRB  	N		1.28		3
1704000567	2023	1	CP       	N		1.08		1
1704000742	2023	1	TPP      	N		1.55		1
1704000597	2023	1	TPP      	N		1.02		1
1704000453	2023	1	CW       	N		1.12		1
1704000751	2023	1	IIIBU    	N		1.86	95	1
1704000751	2023	1	PIEL     	N		0.57		2
1704000751	2023	1	CP       	N		0.57		3
1704000603	2023	1	IIIBU    	N		2.7	95	1
1704000603	2023	1	AGROT    	N		0.98		2
1704000603	2023	1	ODN-ZŁOŻ 	N		0.98		3
1704000603	2023	1	CW       	N		0.86		4
1704000603	2023	1	CP       	N		0.86		5
1704000690	2023	1	IIIBU    	N		1.5	95	1
1704000690	2023	1	AGROT    	N		0.6		2
1704000690	2023	1	ODN-ZŁOŻ 	N		0.6		3
1704000690	2023	1	PIEL     	N		0.45		4
1704000690	2023	1	CP       	N		0.45		5
1704000759	2023	1	TPP      	N		1.97		1
1704000693	2023	1	CP       	N		5.1		1
1704000453	2023	1	CP       	N		0.48		2
1704000457	2023	1	TPP      	N		2.28		1
1704000697	2023	1	TPP      	N		2.63		1
1704000699	2023	1	TPP      	N		0.61		1
1704000705	2023	1	TPP      	N		1.47		1
1704000774	2023	1	IIIBU    	N		3.02	95	1
1704000774	2023	1	AGROT    	N		1.2		2
1704000774	2023	1	ODN-ZŁOŻ 	N		1.2		3
1704000774	2023	1	CW       	N		0.91		4
1704000774	2023	1	CP       	N		0.91		5
1704000776	2023	1	TPP      	N		5.7		1
1704000779	2023	1	TPP      	N		2.19		1
1704000781	2023	1	IIIB     	N		5.88	30	1
1704000781	2023	1	AGROT    	N		1.77		2
1704000781	2023	1	ODN-ZŁOŻ 	N		1.77		3
1704000781	2023	1	PIEL     	N		0.4		4
1704000605	2023	1	TPP      	N		1.65		1
1704000608	2023	1	CP       	N		0.93		1
1704000714	2023	1	TPP      	N		0.9		1
1704000716	2023	1	TPP      	N		1.52		1
1704000785	2023	1	TPP      	N		1.83		1
1704000464	2023	1	TPP      	N		1.74		1
1704000631	2023	1	CP       	N		0.9		1
1704000637	2023	1	TWP      	N		1.0		1
1704000722	2023	1	TPP      	N		0.91		1
1704000475	2023	1	TPP      	N		1.92		1
1704000725	2023	1	AGROT    	N		1.05		1
1704000725	2023	1	ODN-ZŁOŻ 	N		1.05		2
1704000639	2023	1	TPP      	N		0.66		1
1704000641	2023	1	TPP      	N		8.73		1
1704000477	2023	1	TPP      	N		3.33		1
1704000727	2023	1	TPP      	N		4.29		1
1704000729	2023	1	IIIAU    	N		3.32	95	1
1704000729	2023	1	AGROT    	N		2.32		2
1704000729	2023	1	ODN-ZŁOŻ 	N		2.32		3
1704000729	2023	1	CW       	N		1.0		4
1704000643	2023	1	IB       	N		1.75	95	1
1704000643	2023	1	AGROT    	N		1.75		2
1704000643	2023	1	ODN-ZRB  	N		1.75		3
1704000645	2023	1	IB       	N		1.18	95	1
1704000645	2023	1	AGROT    	N		1.18		2
1704000645	2023	1	ODN-ZRB  	N		1.18		3
1704000480	2023	1	TPP      	N		3.47		1
1704000484	2023	1	TPP      	N		8.85		1
1704001056	2023	1	TWP      	N		1.48		1
1704000976	2023	1	TPP      	N		1.7		1
1704000995	2023	1	IB       	N		3.61	95	1
1704000995	2023	1	AGROT    	N		3.61		2
1704000995	2023	1	ODN-ZRB  	N		3.61		3
1704000997	2023	1	TPP      	N		3.11		1
1704000999	2023	1	TWP      	N		1.17		1
1704000894	2023	1	TPP      	N		2.53		1
1704000896	2023	1	TPP      	N		6.14		1
1704000898	2023	1	TWP      	N		3.95		1
1704000812	2023	1	TPP      	N		0.79		1
1704000827	2023	1	IIIAU    	N		2.01	95	1
1704000827	2023	1	AGROT    	N		1.21		2
1704000827	2023	1	ODN-ZŁOŻ 	N		1.21		3
1704000827	2023	1	CW       	N		0.8		4
1704000831	2023	1	TPP      	N		1.3		1
1704000837	2023	1	TPP      	N		1.02		1
1704000843	2023	1	TPP      	N		2.52		1
1704000847	2023	1	TPP      	N		0.55		1
1704000849	2023	1	TPP      	N		0.79		1
1704000852	2023	1	IB       	N		1.24	95	1
1704000852	2023	1	AGROT    	N		1.24		2
1704000852	2023	1	ODN-ZRB  	N		1.24		3
1704000860	2023	1	TPP      	N		1.55		1
1704000866	2023	1	AGROT    	N		1.07		1
1704000866	2023	1	ODN-ZŁOŻ 	N		1.07		2
1704000866	2023	1	CP       	N		2.37		3
1704000794	2023	1	PIEL     	N		1.5		1
1704000800	2023	1	CP       	N		2.67		1
1704000800	2023	1	PIEL     	N		0.96		2
1704000802	2023	1	TPP      	N		1.67		1
1704000806	2023	1	TPP      	N		3.06		1
1704001010	2023	1	TPP      	N		1.23		1
1704001012	2023	1	TPP      	N		7.65		1
1704001014	2023	1	TPP      	N		2.29		1
1704000901	2023	1	TPP      	N		1.02		1
1704000903	2023	1	TWP      	N		2.35		1
1704000905	2023	1	TPP      	N		2.43		1
1704000909	2023	1	TPP      	N		1.66		1
1704000913	2023	1	TPP      	N		3.44		1
1704000915	2023	1	TPP      	N		4.2		1
1704000917	2023	1	IIIAU    	N		1.46	95	1
1704000917	2023	1	AGROT    	N		1.02		2
1704000917	2023	1	ODN-ZŁOŻ 	N		1.02		3
1704000917	2023	1	CP       	N		0.44		4
1704000866	2023	1	PRZEST   	N		0.0	50	4
1704000868	2023	1	IIIAU    	N		2.76	95	1
1704000868	2023	1	AGROT    	N		1.93		2
1704000868	2023	1	ODN-ZŁOŻ 	N		1.93		3
1704000868	2023	1	PIEL     	N		0.83		4
1704000871	2023	1	TWP      	N		4.65		1
1704000873	2023	1	CP       	N		4.55		1
1704000877	2023	1	TPP      	N		0.7		1
1704001138	2023	1	TPP      	N		1.56		1
1704001141	2023	1	TPP      	N		2.04		1
1704001143	2023	1	TPP      	N		1.32		1
1704001020	2023	1	IB       	N		2.2	95	1
1704001020	2023	1	AGROT    	N		2.2		2
1704001020	2023	1	ODN-ZRB  	N		2.2		3
1704001026	2023	1	CP       	N		0.69		1
1704000919	2023	1	IIIAU    	N		1.97	95	1
1704000919	2023	1	AGROT    	N		1.38		2
1704000919	2023	1	ODN-ZŁOŻ 	N		1.38		3
1704000919	2023	1	CP       	N		0.59		4
1704000922	2023	1	CP       	N		3.83		1
1704000922	2023	1	CW       	N		2.55		2
1704000924	2023	1	TPP      	N		1.94		1
1704000926	2023	1	TPP      	N		1.59		1
1704000928	2023	1	TPP      	N		0.47		1
1704000930	2023	1	TPP      	N		3.39		1
1704000932	2023	1	TPP      	N		2.08		1
1704000935	2023	1	TPP      	N		3.49		1
1704000937	2023	1	TWP      	N		3.7		1
1704000939	2023	1	TPP      	N		2.01		1
1704000941	2023	1	TPP      	N		1.23		1
1704001145	2023	1	TPP      	N		1.87		1
1704001147	2023	1	TPP      	N		5.72		1
1704001151	2023	1	IB       	N		1.17	95	1
1704001151	2023	1	AGROT    	N		1.17		2
1704001151	2023	1	ODN-ZRB  	N		1.17		3
1704001153	2023	1	TWP      	N		1.23		1
1704001155	2023	1	TWP      	N		0.84		1
1704001157	2023	1	TPP      	N		2.16		1
1704001159	2023	1	TPP      	N		1.58		1
1704001162	2023	1	IIIBU    	N		3.17	95	1
1704001162	2023	1	AGROT    	N		1.25		2
1704001162	2023	1	ODN-ZŁOŻ 	N	2	2.21		3
1704001162	2023	1	CP       	N		0.96		4
1704001164	2023	1	TWP      	N		1.68		1
1704001166	2023	1	TWP      	N		0.98		1
1704001168	2023	1	IB       	N		1.33	95	1
1704001168	2023	1	AGROT    	N		1.33		2
1704001168	2023	1	ODN-ZRB  	N		1.33		3
1704001170	2023	1	TPP      	N		1.98		1
1704001033	2023	1	TPP      	N		6.42		1
1704001037	2023	1	TPP      	N		1.49		1
1704001041	2023	1	IB       	N		1.17	95	1
1704001041	2023	1	AGROT    	N		1.17		2
1704001041	2023	1	ODN-ZRB  	N		1.17		3
1704001043	2023	1	TPP      	N		2.74		1
1704000943	2023	1	TPP      	N		0.62		1
1704000945	2023	1	CP       	N		0.82		1
1704001216	2023	1	TPP      	N		3.88		1
1704001218	2023	1	TPP      	N		2.29		1
1704001172	2023	1	TPP      	N		1.96		1
1704001174	2023	1	IIIAU    	N		1.69	95	1
1704001174	2023	1	AGROT    	N		1.01		2
1704001174	2023	1	ODN-ZŁOŻ 	N		1.01		3
1704001174	2023	1	CP       	N		0.68		4
1704001048	2023	1	TPP      	N		1.16		1
1704000955	2023	1	TPP      	N		1.24		1
1704000962	2023	1	TPP      	N		0.62		1
1704001177	2023	1	TWP      	N		1.57		1
1704001058	2023	1	TWP      	N		1.25		1
1704001181	2023	1	TPP      	N		1.9		1
1704001183	2023	1	TWP      	N		0.97		1
1704001185	2023	1	TPP      	N		2.06		1
1704001187	2023	1	TPP      	N		2.52		1
1704001052	2023	1	TPP      	N		7.62		1
1704000966	2023	1	TPP      	N		1.07		1
1704000968	2023	1	TPP      	N		1.56		1
1704000970	2023	1	TPP      	N		1.56		1
1704001060	2023	1	CP       	N		0.91		1
1704001191	2023	1	TWP      	N		0.66		1
1704001062	2023	1	TWP      	N		3.38		1
1704001197	2023	1	TPP      	N		1.52		1
1704001064	2023	1	TPP      	N		3.63		1
1704001199	2023	1	IB       	N		0.89	95	1
1704001199	2023	1	AGROT    	N		0.89		2
1704001199	2023	1	ODN-ZRB  	N		0.89		3
1704001201	2023	1	TWP      	N		1.95		1
1704001066	2023	1	TPP      	N		2.88		1
1704001203	2023	1	TWP      	N		1.01		1
1704001068	2023	1	TPP      	N		3.14		1
1704001205	2023	1	TPP      	N		2.12		1
1704001070	2023	1	TPP      	N		0.95		1
1704001212	2023	1	TWP      	N		1.21		1
1704001072	2023	1	TPP      	N		1.79		1
1704001214	2023	1	TWP      	N		2.39		1
1704001083	2023	1	TPP      	N		2.8		1
1704001225	2023	1	IIIBU    	N		0.76	95	1
1704001225	2023	1	AGROT    	N		0.3		2
1704001225	2023	1	ODN-ZŁOŻ 	N		0.3		3
1704001225	2023	1	CW       	N		0.23		4
1704001225	2023	1	CP       	N		0.23		5
1704001085	2023	1	TPP      	N		1.16		1
1704001089	2023	1	IIIBU    	N		2.98	95	1
1704001229	2023	1	IIIB     	N		1.56	50	1
1704001229	2023	1	AGROT    	N	2	0.94		2
1704001229	2023	1	ODN-ZŁOŻ 	N	2	0.94		3
1704001089	2023	1	AGROT    	N		1.2		2
1704001089	2023	1	ODN-ZŁOŻ 	N		1.2		3
1704001089	2023	1	CW       	N		0.89		4
1704001089	2023	1	CP       	N		0.89		5
1704001091	2023	1	CP       	N		0.47		1
1704001380	2023	1	TPP      	N		1.32		1
1704001301	2023	1	TWP      	N		1.29		1
1704001093	2023	1	CP       	N		1.34		1
1704001388	2023	1	IB       	N		1.43	95	1
1704001388	2023	1	AGROT    	N		1.43		2
1704001388	2023	1	ODN-ZRB  	N		1.43		3
1704001095	2023	1	TPP      	N		2.3		1
1704001097	2023	1	TPP      	N		5.32		1
1704001393	2023	1	TPP      	N		7.84		1
1704001250	2023	1	TPP      	N		2.71		1
1704001308	2023	1	TWP      	N		0.77		1
1704001395	2023	1	TWP      	N		4.09		1
1704001102	2023	1	CW       	N		1.6		1
1704001397	2023	1	TPP      	N		1.11		1
1704001312	2023	1	TPP      	N		1.92		1
1704001274	2023	1	IB       	N		2.83	90	1
1704001274	2023	1	AGROT    	N		2.83		2
1704001274	2023	1	ODN-ZRB  	N		2.83		3
1704001407	2023	1	TWP      	N		0.45		1
1704001102	2023	1	CP       	N		0.68		2
1704001276	2023	1	TPP      	N		2.03		1
1704001318	2023	1	IB       	N		3.03	95	1
1704001318	2023	1	AGROT    	N		3.03		2
1704001318	2023	1	ODN-ZRB  	N		3.03		3
1704001104	2023	1	IB       	N		1.29	95	1
1704001320	2023	1	IIDU     	N		0.69	85	1
1704001322	2023	1	IB       	N		0.84	95	1
1704001322	2023	1	AGROT    	N		0.84		2
1704001322	2023	1	ODN-ZRB  	N		0.84		3
1704001333	2023	1	TPP      	N		0.95		1
1704001419	2023	1	TPP      	N		3.08		1
1704001424	2023	1	TPP      	N		2.23		1
1704001430	2023	1	TPP      	N		2.03		1
1704001432	2023	1	IB       	N		1.24	95	1
1704001432	2023	1	AGROT    	N		1.24		2
1704001432	2023	1	ODN-ZRB  	N		1.24		3
1704001278	2023	1	TPP      	N		1.0		1
1704001293	2023	1	TPP      	N		3.01		1
1704001295	2023	1	TWP      	N		6.17		1
1704001465	2023	1	TPP      	N		1.85		1
1704001467	2023	1	TWP      	N		1.08		1
1704001469	2023	1	CP       	N		2.03		1
1704001473	2023	1	TPP      	N		3.03		1
1704001477	2023	1	TPP      	N		1.66		1
1704001483	2023	1	IIIAU    	N		1.27	95	1
1704001483	2023	1	AGROT    	N		0.89		2
1704001483	2023	1	ODN-ZŁOŻ 	N		0.89		3
1704001483	2023	1	CP       	N		0.38		4
1704001486	2023	1	IIIAU    	N		1.96	95	1
1704001486	2023	1	AGROT    	N		1.37		2
1704001486	2023	1	ODN-ZŁOŻ 	N		1.37		3
1704001486	2023	1	CW       	N		0.59		4
1704001488	2023	1	TPP      	N		0.62		1
1704001353	2023	1	TPP      	N		1.3		1
1704001436	2023	1	IB       	N		1.07	95	1
1704001436	2023	1	AGROT    	N		1.07		2
1704001436	2023	1	ODN-ZRB  	N		1.07		3
1704001356	2023	1	TPP      	N		1.0		1
1704001104	2023	1	AGROT    	N		1.29		2
1704001104	2023	1	ODN-ZRB  	N		1.29		3
1704001106	2023	1	TPP      	N		1.31		1
1704001364	2023	1	TPP      	N		1.94		1
1704001440	2023	1	IB       	N		1.89	95	1
1704001440	2023	1	AGROT    	N		1.89		2
1704001440	2023	1	ODN-ZRB  	N		1.89		3
1704001494	2023	1	TWP      	N		0.76		1
1704001496	2023	1	IIIAU    	N		1.15	95	1
1704001496	2023	1	AGROT    	N		0.83		2
1704001496	2023	1	ODN-ZŁOŻ 	N		0.83		3
1704001496	2023	1	CP       	N		0.32		4
1704001498	2023	1	IB       	N		0.69	95	1
1704001498	2023	1	AGROT    	N		0.69		2
1704001498	2023	1	ODN-ZRB  	N		0.69		3
1704001500	2023	1	TPP      	N		0.46		1
1704001366	2023	1	IIIAU    	N		2.58	95	1
1704001366	2023	1	AGROT    	N		1.88		2
1704001366	2023	1	ODN-ZŁOŻ 	N		1.88		3
1704001366	2023	1	CP       	N		0.7		4
1704001370	2023	1	TPP      	N		1.14		1
1704001372	2023	1	IIIAU    	N		2.45	95	1
1704001372	2023	1	AGROT    	N		1.72		2
1704001372	2023	1	ODN-ZŁOŻ 	N		1.72		3
