arodes_int_num	a_year	density_cd	mixture_cd	standdensity_index	tree_stock_cd	st_rank_order_act	storey_cd
1704000207	2023			0.4		2	PODSZ   
1704000209	2023	UM  		1.0	UM PRZ 	1	DRZEW   
1704000209	2023			0.5		2	PODSZ   
1704000211	2023			0.5		2	PODSZ   
1704000211	2023	UM  		0.8	UM PRZ 	1	DRZEW   
1704000213	2023			0.3		2	PODSZ   
1704000213	2023	UM  		0.7	UM PRZ 	1	DRZEW   
1704000215	2023			0.3		2	PODSZ   
1704000215	2023	UM  		0.8	UM PRZ 	1	DRZEW   
1704000219	2023	PRZ 	GRP 	0.5	PRZ UM 	1	DRZEW   
1704000219	2023			0.3		2	PODS    
1704000219	2023			0.7		3	PODSZ   
1704000221	2023	PRZ 		0.6	PRZ UM 	1	DRZEW   
1704000221	2023			0.3		2	PODS    
1704000221	2023			0.7		3	PODSZ   
1704000230	2023	UM  		0.8	UM PRZ 	1	DRZEW   
1704000230	2023			0.6		2	PODSZ   
1704000232	2023			0.6		2	PODSZ   
1704000232	2023	PRZ 	GRP 	0.6	PRZ UM 	1	DRZEW   
1704000234	2023	PRZ 		0.8	PRZ UM 	1	DRZEW   
1704000234	2023			0.7		2	PODSZ   
1704000236	2023	UM  		0.8	UM PRZ 	1	DRZEW   
1704000236	2023			0.5		2	PODSZ   
1704000240	2023	UM  	KĘP 	1.0	UM DUŻE	1	DRZEW   
1704000240	2023			0.4		2	PODSZ   
1704000240	2023					3	PRZES   
1704000353	2023	UM  	GRP 	0.7	UM PRZ 	1	DRZEW   
1704000353	2023			0.3		2	PODS    
1704000353	2023			0.7		3	PODSZ   
1704000366	2023			0.7		2	PODSZ   
1704000366	2023	UM  	GRP 	0.8	UM DUŻE	1	DRZEW   
1704000368	2023			0.5		2	PODSZ   
1704000368	2023	UM  		0.9	UM PRZ 	1	DRZEW   
1704000374	2023			0.9		2	PODSZ   
1704000374	2023	UM  	KĘP 	0.8	UM PRZ 	1	DRZEW   
1704000376	2023			0.9		2	PODSZ   
1704000376	2023	UM  		0.9	UM DUŻE	1	DRZEW   
